Euglena,3623
Diadesmis,2134
Phacus,1536
Closterium,1224
Pediastrum,1213
Scenedesmus,1100
Cyclotella,1007
Mavicula,876
Microcystis,866
Cymbella,767
Trachelomonas,592
Melosira,519
Staurastrum,513
Nitzschia,509
Chlamydomonas,474
Dinobryon,398
Gomphonema,387
Tetraedron,384
Ankistrodesmus,381
Pandorina,338
Gonium,331
Synedra,331
Chroococcus,311
Kirchneriella,302
Gymatopleura,298
Surirella,288
Coelastrum,284
Fragilaria,283
Crucigenia,274
Anabaena,274
Selenastrum,269
Synura,253
Eudorina,249
Dictyosphaerium,247
Stigeoclonium,242
Peridinium,213
Cocconeis,204
Botryocladia,199
Diatoma,197
Ceratium,195
Spirogyra,190
Ulothrix,185
Oocystis,159
Micractinium,146
Oscillatoria,139
Schroederia,128
Gyrosigma,127
Aphanizomenon,127
Cryptomonas,117
Chlorella,108
Chodatella,106
Tetrastrum,105
Mallomonas,102
Ceratocorys,92
Carteria,84
Merismopedia,80
Actinastrum,62
Peridiniopsis,55
Oedogonium,55
Planktosphaeria,53
Planktothrix,52
Spirulina,51
Strombomonas,47
Chroomonas,29
Urosolenia,25
Coelosphaeriaceae,23
Franceia,16
Closteriopsis,16
